SKU코드,SKU상품명,과세여부,입수량
D014E,[BOX] 설래담 더진한 붉은대게장 80gX30개입,과세,30
D615E,[BOX] 설래담 마라룽샤 580g x 12ea,과세,
D010E,[BOX] 설래담 마라새우 580g,면세,
D616E,[BOX] 설래담 마라새우 580g x 12ea,과세,
D617E,[BOX] 설래담 매콤 칠게젓 400g x 12개입,과세,
D016E,[BOX] 설래담 매콤 칠게젓 80g x 30개입,과세,
D618E,[BOX] 설래담 모둠해물탕 750g x 12ea,과세,
D033E,[BOX] 설래담 민어 매운탕 800g,면세,
D619E,[BOX] 설래담 민어매운탕 680g x 12ea,과세,
D620E,[BOX] 설래담 바지락술찜 900g (450g x 2봉) x 12ea,과세,12
D621E,[BOX] 설래담 붉은대게딱지장 320g(80g x 4ea)(냉동),과세,8
D622E,[BOX] 설래담 붉은대게딱지장 400g x 12개입,과세,
D611E,[BOX] 설래담 순날치알골드 400g x 12개입,과세,12
D879E,[BOX] 설래담 양념 해물장 3종 480g,과세,
D624E,[BOX] 설래담 양념꽃게무침 650g,면세,12
D624E,[BOX] 설래담 양념꽃게무침 650g x 12ea,과세,
D085E,[BOX] 설래담 오독오독 조개살와사비 80g (냉동),과세,
D101E,[BOX] 설래담 타코와사비 320g(80g x 4ea)(냉동),과세,8
D001B,[BOX] 설래담 타코와사비 400g x 12개입,과세,
G039E,[BOX] 설래담 타코와사비 80gx30개입,과세,30
D632E,[BOX] 설래담 해물알탕 660g x 12ea,과세,
D632E,[BOX] 설래담 해물알탕 660g x 12ea,면세,12
G612E,[BOX] 시메사바 콤보 2kg,과세,5
D624E,[BOX] 양념꽃게무침(R) 650g x 12ea,과세,12
G529E,[BOX] 자숙문어다리 300g,과세,30
G629E,[BOX] 자숙문어다리 300g_TRITON,과세,
G508E,[BOX] 전복게우장 400g,과세,12
G642E,[BOX] 카네코메 연어알 500g,과세,
G132E,[BOX] 코모치 야리이까 알을 품은 한치 600g(300gx2ea),과세,15
G548E,[BOX] 크래비넌 매콤크랩 300g (30gx10ea),과세,16
G547E,[BOX] 크래비넌 오리지널 300g (30gx10ea),과세,16
G728E,[BOX] 키자미 와사비 250g,과세,20
D626E,[BOX] 타코와사비_1kg,과세,6
G540E,[BOX] 타코와사비_300g,과세,20
G541E,[BOX] 타코와사비_500g,과세,12
G643E,[BOX] 토와수산 연어알,과세,24
D052E,[BOX] 해물알탕(R) 660g x 12ea,과세,
G641E,[BOX] 혼마수산 연어알 500g,과세,
G654E,[BOX][봉초밥 키트 증정]  국내산 시메사바 230g,과세,
G651E,[BOX][봉초밥 키트 증정] 국내산 시메사바 140g,과세,
G652E,[BOX][봉초밥 키트 증정] 국내산 시메사바 170g,과세,
G653E,[BOX][봉초밥 키트 증정] 국내산 시메사바 200g,과세,
G655E,[BOX][봉초밥 키트 증정] 국내산 시메사바 260g,과세,
G658E,[BOX][봉초밥 키트 증정] 국내산 시메사바 290g,과세,
G501E,[BOX]가니미소1kg,과세,6
G502E,[BOX]가니미소400g,과세,12
G606E,[BOX]가쓰오 슈토우 300g,과세,20
G035E,[BOX]게가라아게500g_copy1,과세,
G503E,[BOX]고래미 가니미소 마일드 1kg,과세,6
G504E,[BOX]고래미 가니미소 마일드 400g,과세,12
D001E,[BOX]고래미 소라와사비 1kg,과세,6
G519E,[BOX]날치알[골드]300g_copy1,과세,20
G520E,[BOX]날치알[골드]800g_copy1,과세,6
G517E,[BOX]날치알[오렌지]300g,과세,20
G518E,[BOX]날치알[오렌지]800g_copy1,과세,6
G607E,[BOX]마구로 슈토우 300g,과세,20
G511E,[BOX]멍게고노와다300g,과세,20
G025E,[BOX]모즈쿠300g,과세,
G025E,[BOX]모즈쿠300g_copy1,과세,
G022E,[BOX]바지락술찜450g_copy1,과세,
G525E,[BOX]붉은대게딱지장1kg,과세,6
G524E,[BOX]붉은대게딱지장400g_copy1,과세,12
D013E,[BOX]설래담 간장새우비빔장80g_copy1,과세,30
D018E,[BOX]설래담 고노와다 80g,면세,30
D014E,[BOX]설래담 더진한붉은대게장80g_copy1,과세,30
D011E,[BOX]설래담 마라롱샤 580g,면세,
D016E,[BOX]설래담 매콤칠게젓80g_copy1,과세,
D015E,[BOX]설래담 붉은대게딱지장80g_copy1,과세,30
D017E,[BOX]설래담 순날치알(골드)80g_copy1,과세,30
D017E,[BOX]설래담 순날치알골드 80g x 30개입,과세,30
SET001,[BOX]설래담 울진 프리미엄 붉은대게 비빔밥 키트 162.8g,과세,
G039E,[BOX]설래담 타코와사비80g_copy1,과세,30
G967E,[BOX]소라와사비500g,과세,12
G059E,[BOX]염장모즈쿠750g,면세,
G535E,[BOX]큐브마요[오렌지]1kg_copy1,과세,
G534E,[BOX]큐브마요[오렌지]300_copy1,과세,
G537E,[BOX]큐브마요[와사비]1kg_copy1,과세,
G536E,[BOX]큐브마요[와사비]300g_copy1,과세,
T006E,[BOX]택미홈 굴짬뽕750g_copy1,면세,
T007E,[BOX]택미홈 나가사끼짬뽕640g_copy1,면세,
T002E,[BOX]택미홈 더진한붉은대게장60g_copy1,과세,
T004E,[BOX]택미홈 모둠해물탕750g_copy1,면세,
T003E,[BOX]택미홈 붉은대게딱지장80g,과세,
T005E,[BOX]택미홈 알탕600g_copy1,면세,
G010E,[BOX]호타테와사비1kg,과세,
G011E,[BOX]호타테와사비500g,과세,
G036E,[BOX} 고래미 장어구이 [500g],과세,
D619E,[BOX} 설래담 민어매운탕 680g x 12ea,면세,12
D015E,[BOX} 설래담 붉은대게딱지장 80gX30개입,과세,30
G651E,[봉초밥 키트 증정] 국내산 시메사바 140g,과세,
G652E,[봉초밥 키트 증정] 국내산 시메사바 170g,과세,
G653E,[봉초밥 키트 증정] 국내산 시메사바 200g,과세,
G654E,[봉초밥 키트 증정] 국내산 시메사바 230g,과세,
G655E,[봉초밥 키트 증정] 국내산 시메사바 260g,과세,
G658E,[봉초밥 키트 증정] 국내산 시메사바 290g,과세,
S103E,[추가구성] 미니락교 20g,과세,
S105E,[추가구성] 봉초밥키트,과세,
S106E,[추가구성] 사시미키트,과세,
G726E,[추가구성] 유자폰즈소스 30g,과세,
S102E,[추가구성] 초대리 50g,과세,
G604E,가쓰오 슈토우 1kg,과세,
G606E,가쓰오 슈토우 300g,과세,
G501E,고래미 가니미소 [1kg],과세,
G502E,고래미 가니미소 [400g],과세,
G503E,고래미 가니미소 마일드 1kg,과세,
G504E,고래미 가니미소 마일드 400g,과세,
S011E,고래미 가라아게파우더 [2kg],과세,
G510E,고래미 가쯔오참치다다끼 [1kg],면세,
G028E,고래미 가쯔오참치다다끼 [2kg],면세,
G024E,고래미 간장대하장 [300g],과세,
G090E,고래미 간장새우비빔장 500g,과세,
G035E,고래미 게가라아게500g,과세,
G686E,고래미 고노와다 500g,면세,
G123E,고래미 고래진미 선물세트,과세,
G034E,고래미 깡새우가라아게 [1kg],과세,
G656E,고래미 날치알 스칼렛 300g,과세,
G097E,고래미 마라해물모둠 920g x 10EA,과세,
G025E,고래미 모즈쿠 [300g],과세,
G037E,고래미 모찌리도후 파우더 [1kg],과세,
G125E,고래미 미식 선물세트,과세,
G971E,고래미 보타르가 150g + 미니 강판 세트,과세,
G103E,고래미 불맛 쭈꾸미볶음 340g,과세,
G523E,고래미 불맛 쭈꾸미볶음 800g (400g x 2ea),과세,
G525E,고래미 붉은대게딱지장 [1kg],과세,
G524E,고래미 붉은대게딱지장 [400g],과세,
G033E,고래미 새우살가라아게 1kg,과세,
G967E,고래미 소라와사비 [500g],과세,
D001E,고래미 소라와사비 1kg,과세,
G112E,고래미 숭어어란 슬라이스 20g,과세,
G952E,고래미 숭어어란 카라스미 1kg,과세,
G137E,고래미 숭어어란 파우더 60g,과세,
G124E,고래미 스몰미식 선물세트,과세,
G610E,고래미 시메니싱 L 1kg,과세,
G609E,고래미 시메니싱 M 1kg,과세,
G646E,고래미 시메사바 L 150g,과세,
G514E,고래미 시메사바 M 120g,과세,
G649E,고래미 시메사바 S 100g,과세,
G645E,고래미 시메사바 XS 70g,과세,
O716E,고래미 시메사바 실속형 (오늘회리턴) 1200g (120g x 10ea),과세,
G515E,고래미 시메사바720g,과세,
G516E,고래미 시메사바750g,과세,
G513E,고래미 시메사바S [700g],과세,
G527E,고래미 양념꼬막장1kg,과세,
G538E,고래미 어니언 타코와사비 1kg,과세,
G138E,고래미 연어알 250g,과세,
G528E,고래미 연어타다끼 1kg,과세,
G726E,고래미 유자폰즈소스 1.5kg (30g x 50ea),과세,
G135E,고래미 유자폰즈소스 600g,과세,
G098E,고래미 육즙 가득 메로 구이 450g x 10EA,과세,
G099E,고래미 육즙 가득 메로 머리 구이 750g x 10EA,과세,
G100E,고래미 육즙 가득 연어 구이 450g x 10EA,과세,
D625E,고래미 육즙 가득 자숙 통오징어 M 500g,과세,
G031E,고래미 이까게소가라아게 [1kg],과세,
G529E,고래미 자숙문어다리 [300g],면세,
G023E,고래미 장어구이 [150g],과세,
G036E,고래미 장어구이 [500g],과세,
G030E,고래미 참치알조림 [1kg],과세,
G787E,고래미 청어알 골드 160g (80g x 2ea) MSC 인증,과세,
G532E,고래미 청어알 골드 300g MSC 인증,과세,
G786E,고래미 청어알 그린 160g (80g x 2ea) MSC 인증,과세,
G531E,고래미 청어알 그린 300g MSC 인증,과세,
G788E,고래미 청어알 스칼렛 160g (80g x 2ea) MSC 인증,과세,
G533E,고래미 청어알 스칼렛 300g MSC 인증,과세,
D695E,고래미 카즈노코니싱 500g,과세,
G094E,고래미 코모치 야리이까 750g,과세,
O133E,고래미 코모치 야리이까 실속형 (오늘회리턴) 600g (300g x 2ea),과세,
G613E,고래미 쿠치코 10g,과세,
G032E,고래미 타코가라아게 1kg,과세,
D945E,고래미 타코와사비 250g,과세,
G539E,고래미 타코와사비 마일드 1kg,과세,
G677E,고래미 타코와사비 프로 1kg,과세,
D631E,고래미 프로펠러 클램 와사비 1kg,과세,
D630E,고래미 프로펠러 클램 와사비 500g,과세,
G010E,고래미 호타테와사비 [1kg],과세,
G011E,고래미 호타테와사비 [500g],과세,
G565E,고래미 홍게살 크림 파스타 소스 1kg,과세,
G608E,고래조개 와사비 1kg,과세,
D603E,낙지연포탕(R) 600g,과세,
G519E,날치알[골드]300g,과세,
G520E,날치알[골드]800g_copy1,과세,
G517E,날치알[오렌지]300g,과세,
G518E,날치알[오렌지]800g,과세,
G605E,마구로 슈토우 1kg,과세,
G607E,마구로 슈토우 300g,과세,
D615E,마라룽샤(R) 580g x 12ea,과세,
D616E,마라새우(R) 580g,과세,
G522E,매콤칼칼 바지락술찜 500g (냉장),과세,
G511E,멍게고노와다300g,과세,
D618E,모둠해물탕(R) 750g,과세,
D646E,모즈쿠 80g (냉장),과세,
D647E,모즈쿠(냉장) 80g 1+1 ((2입)),과세,
G521E,모즈쿠900g_(최신),과세,
E011E,미니강판,과세,
D055E,민어매운탕(R) 680g,과세,
G644E,북해도산 연어알,과세,
D102E,설래담 간장새우비빔장 320g(80g x 4ea)(냉동),과세,
D601E,설래담 간장새우비빔장 400g (80g x 5개입),과세,
D013E,설래담 간장새우비빔장 80g,과세,
D013E,설래담 간장새우비빔장 80g x 3개입,과세,
D008E,설래담 간장새우장 700g,과세,
D739E,설래담 고노와다 320g(80g x 4ea)(냉동),면세,
D602E,설래담 고노와다 400g (80g x 5개입),면세,
D018E,설래담 고노와다 80g,면세,
D018E,설래담 고노와다 80gX3개입,면세,
D603E,설래담 낙지연포탕 600g,과세,
D603E,설래담 낙지연포탕 600g x 3개입 (1.8kg),과세,
D603E,설래담 낙지연포탕 680g,면세,
D099E,설래담 더진한 붉은대게장 320g(80g x 4ea)(냉동),과세,
D612E,설래담 더진한 붉은대게장 400g (80g x 5개입),과세,
D014E,설래담 더진한 붉은대게장 80g,과세,
D014E,설래담 더진한 붉은대게장 80gx3개입,과세,
D011E,설래담 마라롱샤 580g,면세,
D615E,설래담 마라룽샤 580g,과세,
D010E,설래담 마라새우 580g,면세,
D616E,설래담 마라새우 580g,과세,
D617E,설래담 매콤 칠게젓 400g (80g x 5개입),과세,
D016E,설래담 매콤 칠게젓 80g,과세,
D016E,설래담 매콤 칠게젓 80g x 3개입,과세,
D618E,설래담 모둠해물탕 750g,과세,
D033E,설래담 민어 매운탕 800g,면세,
D048E,설래담 민어매운탕 680g,과세,
D619E,설래담 민어매운탕 680g x 12ea,면세,
D620E,설래담 바지락술찜 900g (450g x 2ea ) x 3개입 (2.7kg),과세,
D620E,설래담 바지락술찜 900g (450g x 2봉),과세,
D621E,설래담 붉은대게딱지장 320g(80g x 4ea)(냉동),과세,
D622E,설래담 붉은대게딱지장 400g (80g x 5개입),과세,
D015E,설래담 붉은대게딱지장 80g,과세,
D015E,설래담 붉은대게딱지장 80g x 3개입,과세,
D611E,설래담 순날치알 400g (80gx5개입),과세,
D017E,설래담 순날치알골드 80g,과세,
D017E,설래담 순날치알골드 80g x 3개입,과세,
D879E,설래담 양념 해물장 3종 480g,과세,
D624E,설래담 양념꽃게무침 650g,면세,
D624E,설래담 양념꽃게무침 650g,과세,
D968E,설래담 오독오독 조개살 와사비80g 2개 (냉동),과세,
D968E,설래담 오독오독 조개살 와사비80g 3개 (냉동),과세,
D968E,설래담 오독오독 조개살와사비 80g (냉동),과세,
SET001,설래담 울진 프리미엄 붉은대게 비빔밥 키트 162.8g,과세,
D101E,설래담 타코와사비 320g(80g x 4ea)(냉동),과세,
D001B,설래담 타코와사비 400g (80g x 5개입),과세,
G039E,설래담 타코와사비 80g,과세,
G039E,설래담 타코와사비 80g x 3개입,과세,
D632E,설래담 해물알탕 660g,과세,
D632E,설래담 해물알탕 660g x 12ea,면세,
G612E,시메사바 콤보 2kg,과세,
D624E,양념꽃게무침(R) 650g,과세,
G059E,염장모즈쿠750g_copy1,면세,
G629E,자숙문어다리 300g_TRITON,과세,
G508E,전복게우장 400g,과세,
E006E,조미 사각 유부 (T-100),과세,
G642E,카네코메 연어알 500g,과세,
G132E,코모치 야리이까 알을 품은 한치 600g(300gx2ea),과세,
G535E,큐브마요[오렌지]1kg_copy1,과세,
G534E,큐브마요[오렌지]300g,과세,
G537E,큐브마요[와사비]1kg,과세,
G536E,큐브마요[와사비]300g_copy1,과세,
G548E,크래비넌 매콤크랩 300g (30g10ea),과세,
C557E,크래비넌 매콤크랩 30g,과세,
G547E,크래비넌 오리지널 300g (30gx10ea),과세,
C556E,크래비넌 오리지널 30g,과세,
G728E,키자미 와사비 250g,과세,
D626E,타코와사비_1kg,과세,
G540E,타코와사비_300g,과세,
G541E,타코와사비_500g,과세,
G003E,타코와사비300g,과세,
T006E,택미홈 굴짬뽕750g,면세,
T007E,택미홈 나가사끼짬뽕640g,면세,
T002E,"택미홈 더진한붉은대게장60g,3개입_copy1",과세,
T004E,택미홈 모둠해물탕 [750g],면세,
G022E,택미홈 바지락술찜 [450g],과세,
T003E,"택미홈 붉은대게딱지장80g,3개입",과세,
T005E,택미홈 해물알탕 [600g],면세,
G643E,토와수산 연어알 500g,과세,
P001E,특가판매 소라와사비 1kg,과세,
D052E,해물알탕(R) 660g,과세,
G641E,혼마수산 연어알 500g,과세,
